message,category
what are the pre and post workout stretches,workout related
How was my day today?,generic statement
How many glasses of water should I drink,diet related
How is my protien intake today?,diet related
Is Glass noodles better or wheat noodles?,diet related
I am allergic to gluten. Can you give me dinner suggestion that includes a gluten free diet,diet related
Is beer better or orange juice?,diet related
What is beer sorbet?,diet related
Beer better or red wine?,diet related
What exercise should I do do have a flat tummy,workout related
What exercise should I do in order to have a flat tummy,workout related
How do I become thin,workout related
How do I become fit,workout related
Can I speak to a coach?,fitness expert related
Can I get a free consultation call?,fitness expert related
How do I do a plank?,workout related
Is poori better or roti?,diet related
What is the difference between phulkas and rotis,diet related
How to do a push up?,workout related
How to do a plank?,workout related
What are jumping jacks?,workout related
Suggest some good dinners for stamina building,diet related
Healthy dinner suggestion,diet related
You always give me the same options :(,generic statement
Give me a high protein dinner suggestion,diet related
Are laddus good for health?,diet related
What are some healthy snacks that you would suggest?,diet related
Coconut water or lime water?,diet related
Jalebi or laddu?,diet related
How to do push ups,workout related
How do I do push ups?,workout related
What is the difference between curd and yogurt?,diet related
Are yogurts and curd the same?,diet related
Is chakli good for health?,diet related
Vada pav better or dabeli?,diet related
Dabeli vs vada pav,diet related
Please show me the pfcf of vada pav and dabeli,diet related
I want vegetarian breakfast option,diet related
Can you suggest some vegetarian options for breakfast,diet related
hi what should I eat to increase my protein intake,diet related
hi can you help me break down my macronutrients to build muscles,workout related
What is my PFCF consumption so far,diet related
Beer vs beer,diet related
How does my bmi looks like?,fitness concern and queries
When should I check my weight?,fitness concern and queries
What should be bmi for height 7 inches,fitness concern and queries
Bmi for height 180cm?,fitness concern and queries
Ideal bmi for weight 80kgs,fitness concern and queries
What should be my ideal bmi,fitness concern and queries
how is my day,generic statement
how is my day,generic statement
how is my day,generic statement
what are some unhealthy foods I had yesterday,diet related
what are some healthy foods I had yesterday,diet related
what can I eat for snacks,diet related
how is my protein progress yesterday,diet related
how is my day,generic statement
how is my day yesterday,generic statement
what are some unhealthy foods I had yesterday,diet related
what are the healthy foods I had yesterday,diet related
what can I eat for snacks,diet related
Hi,generic statement
Order it,generic statement
I want to lose weight,fitness concern and queries
Order it,generic statement
I want to lose weight,fitness concern and queries
Suggest me an exercise,workout related
How to lose weight,fitness concern and queries
I want to focus on Diet,diet related
How can I sleep better,fitness concern and queries
Motivate me,generic statement
Suggest a snack,diet related
Can I have orange instead of mango,diet related
Hi how can you help,generic statement
Suggest an excercise,workout related
Suggest me a workout,workout related
Who are you,generic statement
How can you help,generic statement
Suggest me few fried foods,diet related
You are stupid,generic statement
How can I gain weight,fitness concern and queries
How was my day yesterday,generic statement
I need to lose weight,fitness concern and queries
I want to focus on Workout,workout related
Ya. Tell me an exercise which I can do easily,workout related
Post workout foods,diet related
How can you help,generic statement
How can I run faster,workout related
How do I motivate myself,generic statement
what should I be eating for dinner,diet related
Order it,generic statement
hi there how are you,generic statement
how is my day,generic statement
what is your name,generic statement
Did I have any unhealthy foods yesterday?,diet related
"Yes, Suggest me replacements for Samosa",diet related
What should I workout now,workout related
What should I eat for snack,diet related
Order it,generic statement
Can I have orange instead of apple,diet related
what should I have for a snack,diet related
what should I workout now,workout related
what should I eat if I have diabetes,diet related
what should I have while travelling to Bombay,diet related
orange or mango,diet related
what should I have for snack,diet related
order it,generic statement
I want to lose 20 kgs weight,fitness concern and queries
what are some healthy foods I ate yesterday,diet related
what were some of the high calorie foods I eat yesterday,diet related
suggest me a workout,workout related
what should I eat when I am at office,diet related
I don't like swimming,workout related
I don't like swimming,workout related
you're not getting me,generic statement
you are not understanding me,generic statement
I want to get fit and healthy but I don't know what to do,fitness concern and queries
I want to lose weight and I want to be healthy again,fitness concern and queries
what should I eat for weight loss,diet related
what exercises should I do if I want to lose 10 kgs,workout related
what should I eat to lose belly fat,diet related
What exercise should I do if I want to lose fat on my arms,workout related
I don't have time to follow a workout plan,workout related
I am too lazy to workout,workout related
I am unable to lose weight,fitness concern and queries
give me a diet plan to lose weight,diet related
can I talk to a coach,fitness expert related
I know coach is good enough,fitness expert related
how will a premium plan help me,plan and subscription related
give me directions to feel energetic,fitness concern and queries
what exercises should I do to have a flat tummy,workout related
can I eat cashew nuts,diet related
Tell me about dosa,diet related
What should I workout now,workout related
Tell me about orange,diet related
Which is better? Mango or orange,diet related
What is my steps progress,generic statement
How healthy is idli,diet related
What are the unhealthy foods I had yesterday..m,diet related
Healthy foods I had today?,diet related
how much should I sleep on daily basis,fitness concern and queries
you are not understanding me,generic statement
you are not able to understand me,generic statement
you are not understanding me,generic statement
you are not understanding me,generic statement
Tell me about idli,diet related
how are you,generic statement
what should I eat today,diet related
tell me some protein sources,diet related
this is cardio,workout related
now tell me strength exercises,workout related
can you send me a General diet plan,diet related
what is a paleo diet,diet related
